Month,PIC,Pemasok,Kategori Pemasok,Kategori Barang,Nama Cabang,Kode #,#Prime.Qty,#Purch.Total,min,max
December,CP,PT. BLACKWING MARVEL COMICS 2,Umum,FOOD [RM] - COM,MVSMEL,100183,350000,18725000,53.5,53.5
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,FJFOXN,100063,5000,69000,13,16
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,FJFOXN,100065,72000,1239000,17.083333,17.333333
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,FJFOXN,100124,440000,21538750,21,75.5
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,OMTJBI,100011,750000,12090500,15.85,16.24
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,OMTJBI,100042,92000,1104000,12,12
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,OMTJBI,100044,70000,1680000,24,24
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,OMTJBI,100045,58000,4115000,70,75
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,OMTJBI,100046,75000,412500,5.5,5.5
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,OMTJBI,100047,35000,1120000,32,32
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,FJFOXN,100059,500,1500000,3000,3000
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,OMTJBI,100049,84500,1950000,23.076923,23.076923
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,OMTJBI,100053,108000,1350000,12.5,12.5
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,OMTJBI,100059,500,1500000,3000,3000
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,OMTJBI,100063,8000,109000,13,16
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,OMTJBI,100065,96000,1652000,17.083333,17.333333
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,OMTJBI,100124,625000,29617000,21,75.5
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,OMTJBI,100166,48000,1215000,25.3125,25.3125
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,JKEDGJ,100011,600000,9667000,15.85,16.24
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,JKEDGJ,100042,47000,564000,12,12
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,JKEDGJ,100044,37500,900000,24,24
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,OMTJBI,100050,25000,800000,32,32
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,FJFOXN,100053,90000,1125000,12.5,12.5
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,FJFOXN,100050,20000,640000,32,32
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,FJFOXN,100049,52000,1200000,23.076923,23.076923
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,UDABOK,100071,7752000,326187500,42.07785,42.07785
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,BLEZQW,100011,950000,15292500,15.85,16.24
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,BLEZQW,100042,116000,1392000,12,12
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,BLEZQW,100044,111000,2664000,24,24
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,BLEZQW,100045,72000,5105000,70,75
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,BLEZQW,100046,111000,610500,5.5,5.5
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,BLEZQW,100047,53000,1696000,32,32
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,BLEZQW,100049,104000,2400000,23.076923,23.076923
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,BLEZQW,100050,45000,1440000,32,32
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,BLEZQW,100053,150000,1875000,12.5,12.5
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,BLEZQW,100059,600,1800000,3000,3000
December,RESTO,PT. ETRIGAN DC COMICS,Umum,FOOD [RM] - COM,BLEZQW,100063,9000,119000,13,14
