Kode #,Nama Barang,Kategori Barang,PIC
100001,AYAM DADA FILLET - CP,FOOD [RM] - COM,CP
100004,BAWANG PUTIH - CP,FOOD [RM] - COM,CP
100006,CABE RAWIT - CP,FOOD [RM] - COM,CP
100010,GARAM - CP,FOOD [RM] - COM,CP
100011,GULA -RESTO,FOOD [RM] - COM,RESTO
100016,KULIT PANGSIT,FOOD [RM] - COM,RESTO
100017,LPG 12KG,FOOD [RM] - COM,RESTO
100025,TEPUNG ROTI,FOOD [RM] - COM,RESTO
100026,WORTEL - CP,FOOD [RM] - COM,CP
100028,MIE,FOOD [RM] - COM,RESTO
100030,TEPUNG TERIGU SEGITIGA,FOOD [RM] - COM,CP
100031,TEPUNG TAPIOKA,FOOD [RM] - COM,CP
100032,KULIT PANGSIT (KULIT SIOMAY) - CP,FOOD [RM] - COM,CP
100037,BASIC MIE,FOOD [RM] - COM,CP
100039,BIANG AYAM CINCANG - CP,FOOD [RM] - COM,CP
100040,TAHU - CP,FOOD [RM] - COM,CP
100041,AIR MINERAL BOTOL,FOOD [RM] - COM,RESTO
100042,BUAH BELIMBING,FOOD [RM] - COM,RESTO
100044,BUAH PEER,FOOD [RM] - COM,RESTO
100045,BUAH STRAWBERRY,FOOD [RM] - COM,RESTO
100046,CINCAU,FOOD [RM] - COM,RESTO
100047,BUAH APEL,FOOD [RM] - COM,RESTO
100049,JELLY BUBBLE,FOOD [RM] - COM,RESTO
100050,JELLY MIE,FOOD [RM] - COM,RESTO
100051,LEMON TEA - NESTLE,FOOD [RM] - COM,RESTO
100052,MILO,FOOD [RM] - COM,RESTO
100053,NATA DE COCO,FOOD [RM] - COM,RESTO
100054,ORANGE - NESTLE,FOOD [RM] - COM,RESTO
100056,SIRUP MOCCA,FOOD [RM] - COM,RESTO
100058,SUN QUICK LEMON,FOOD [RM] - COM,RESTO
100059,TEA GOPEK,FOOD [RM] - COM,RESTO
100060,TEA NAGA,FOOD [RM] - COM,RESTO
100061,TEA TARIK - NESTLE,FOOD [RM] - COM,RESTO
100062,VANILLA LATTE - NESTLE,FOOD [RM] - COM,RESTO
100063,JERUK NIPIS,FOOD [RM] - COM,RESTO
100064,SUSU KENTAL MANIS,FOOD [RM] - COM,RESTO
100065,SUSU ULTRA UHT FULL CREAM,FOOD [RM] - COM,RESTO
100068,CREAMER,FOOD [RM] - COM,RESTO
100069,BLACK THAI TEA,FOOD [RM] - COM,RESTO
100070,GREEN THAI TEA,FOOD [RM] - COM,RESTO
100071,SUSU EVAPORASI,FOOD [RM] - COM,RESTO
100074,BIANG PANGSIT - CP,FOOD [RM] - COM,CP
100077,BAWANG BOMBAY - CP,FOOD [RM] - COM,CP
100093,AYAM PAHA FILLET - CP,FOOD [RM] - COM,CP
100094,KULIT TAHU KECIL - CP,FOOD [RM] - COM,CP
100095,KEJU,FOOD [RM] - COM,RESTO
100096,PLASTIK VACUM BESAR 23 X 34,FOOD [RM] - COM,CP
100097,PLASTIK VACUM SEDANG 20 X 30,FOOD [RM] - COM,CP
100100,HD PLASTIK TICTAS 15X17 (DUREN 2),FOOD [RM] - COM,RESTO
100102,HD PLASTIK TICTAS 15X30X50 (DUREN 3),FOOD [RM] - COM,RESTO
