Nama Cabang,Provinsi,id,name,state_code,latitude,longitude,type
OIXFIM,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
PJDGNU,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
BOKAFX,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
HOGPNE,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
JSJPVC,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
ZLSSTS,DI Yogyakarta,1829,DI Yogyakarta,YO,-7.8753849,110.4262088,province
HIZAKD,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
EIRSDX,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
PASSLA,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
IXSWCA,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
VYJUMN,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
JOGCOL,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
LGIXGP,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
TDULAD,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
NYWDTC,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
EFVNJZ,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
EJBHRR,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
FQLQFV,DI Yogyakarta,1829,DI Yogyakarta,YO,-7.8753849,110.4262088,province
LVZNFM,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
KAZNMJ,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
MPHOQB,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
YMHCUK,DI Yogyakarta,1829,DI Yogyakarta,YO,-7.8753849,110.4262088,province
GYVXHV,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
EEMATH,DI Yogyakarta,1829,DI Yogyakarta,YO,-7.8753849,110.4262088,province
QVGMEI,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
BKXGGU,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
JKEDGJ,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
MEMPNM,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
ERXDDE,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
WCVMJW,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
BFNTLT,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
TMKDQO,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
BLEZQW,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
KVFGBA,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
ZDNAFI,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
HLCMCQ,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
OMFVGU,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
YACJBN,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
ZSXZEJ,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
OMTJBI,Jawa Tengah,1802,Jawa Tengah,JT,-7.150975,110.1402594,province
GPZKZZ,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
GYGDBN,Jawa Barat,1825,Jawa Barat,JB,-7.090911,107.668887,province
HZERZV,Jawa Timur,1827,Jawa Timur,JI,-7.5360639,112.2384017,province
