Month,Nama Barang,AVG PICK UP,AVG PEMBELIAN,AVG SALDO AKHIR,Kategori
January,AKRILIC PRINTER,46.0,130.0,236,
January,ALAT PEL,50.0,5.0,42,
January,ALAT PEMADAM KEBAKARAN ( APAR ),8.0,34.0,28,
January,AMBRO FLATWARE BASKET,7.0,25.0,47,
January,APAR POWDER 3KG,8.0,19.0,17,
January,APAR TIPE K 6KG,4.0,4.0,3,
January,ASBAK,191.0,,387,
January,BABY CHAIR,12.0,28.0,15,
January,BAK THAWING BULAT 80 L,5.0,,24,
January,BALON WHISK,15.0,40.0,64,
January,BASKOM KOTAK BESAR,146.0,192.0,417,
January,BASKOM STAINLESS 12 CM,35.0,,84,
January,BASKOM STAINLESS 18 CM,57.0,,95,
January,BASKOM STAINLESS UK 14 CM,6.0,,49,
January,BASKOM STAINLESS UK 26 CM,20.0,4.0,26,
January,BILL HOLDER,33.0,,115,
January,BOTOL DIPPING BESAR,43.0,,260,
January,BOTOL KECAP KECIL,127.0,,217,
January,BOTOL SPRAY,185.0,140.0,332,
January,BURNER GS UK 9 NP,,,66,MAINTENANCE
January,CADDY BAG,42.0,50.0,32,
January,CAPIT SNACK ( BESAR ),59.0,,70,
January,CASH BOX,4.0,,33,
January,CETING TRADISI ( BESAR ),96.0,,103,
January,CETING TRADISI ( KECIL ),27.0,300.0,657,
January,COOL BOX 55LTR,9.0,10.0,11,
January,DIGITAL CALIPER,7.0,29.0,22,
January,DISPENSER,22.0,40.0,64,
January,DISPENSER SABUN KRISBOW,10.0,12.0,2,
January,DITEKTOR UANG PALSU,20.0,60.0,93,
January,DUST BIN KUNING 240 LTR (TEMPAT SAMPAH),31.0,67.0,36,
January,DUSTBIN STAINLESS BULAT,7.0,25.0,22,
January,EMBER,13.0,30.0,84,
January,EMBER 6 GL,8.0,,36,
January,EROS MELAMINE UK BESAR,31.0,,57,
January,EROS STAINLESS UK 30 CC,26.0,,309,
January,EROS STAINLESS UK 60 CC,20.0,,364,
January,EROS STAINLESS UK 90 CC,23.0,,369,
January,EROS STAINLESS UK BESAR,8.0,,52,
January,FILLING KABINET,4.0,,22,
January,FOOD PAN KECIL,31.0,,36,
January,GARPU ADUKAN MIE,128.0,,84,
January,GARPU MAKAN,24.0,,420,
January,GAS BURNER ( LONG SHUN ),16.0,,22,MAINTENANCE
January,GAS KNOP DIA 8 MM W,,,87,MAINTENANCE
January,GAS KNOP F/JP SERIES,,20.0,60,MAINTENANCE
January,GAS VALVE HIGH PREASURE (CONTROL SE),,,,MAINTENANCE
January,GAS VALVE HP DOUBLE TURBO,1.0,,20,MAINTENANCE
January,GELAS KARYAWAN,1069.0,,405,
January,GELAS MINUMAN HANGAT,421.0,480.0,402,
January,GELAS TEA,6150.0,5600.0,19093,
January,GELAS UKUR 130 ML,61.0,80.0,118,
January,GOLOK,63.0,50.0,134,
January,HAND DRAYER,6.0,15.0,36,
January,HARD COVER HIMBAUAN,24.0,90.0,317,
January,HARD COVER MENU DIMSUM,123.0,,562,
January,JIGGER UK 20/30,25.0,40.0,87,
January,JIGGER UK 20/40,35.0,50.0,84,
January,JIGGER UK 30/40,28.0,30.0,76,
January,KESET KOTAK KARET LUBANG,35.0,,5,
January,KLAKAT DIMSUM,6747.0,17000.0,5142,
January,KLAKAT PREMIUM,,,650,
January,KNOP BOILER/WATER TAP HEAD,,,71,MAINTENANCE
January,KNOP F/GAS COOK DIAL,,,41,MAINTENANCE
January,KONTAINER PERFORATED,20.0,105.0,41,
January,KONTAINER SOLID,12.0,2620.0,144,
January,LADIES STICKER,10.0,10.0,81,
January,LEFT WATER TAP-RIGHT 02303964 (PD.2458E2,,,71,MAINTENANCE
January,LOCKER SET,49.0,,110,
January,LOGGER,101.0,80.0,46,
January,MAGNET D 22 W/TREADED BOLT (SP),,,6,MAINTENANCE
January,MESIN CUP SEALER,7.0,62.0,141,
January,MOB BUCKET (ALAT PEL SET),10.0,25.0,67,
January,MUKENA,12.0,60.0,60,
January,NAMPAN KARET BULAT,45.0,,157,
January,NAMPAN KARET KOTAK (DIMSUM),280.0,180.0,865,
January,NAMPAN KAYU KOTAK,78.0,,200,
January,PALLET BIRU (DRY),80.0,80.0,,
January,PALLET HIJAU (FROZEN),48.0,20.0,71,
January,PANCI DANDANG DIMSUM UK 36,50.0,10.0,25,
January,PANCI ENDAPAN MINYAK UK 40,26.0,5.0,20,
January,PANCI KUKUS TAHU UK 36,,,37,
January,PANCI MIE,1228.0,700.0,504,
January,PANCI ORCHID UK 28,6.0,,16,
January,PANCI ORCHID UK 32 CM,17.0,76.0,94,
January,PANCI ORCHID UK 36,39.0,110.0,97,
January,PAPAN AWAS LANTAI LICIN,10.0,,62,
January,PAPAN TULIS,10.0,30.0,47,
January,PEMATIK KOMPOR,21.0,150.0,141,MAINTENANCE
January,PEMBATAS ANTRIAN,28.0,,30,
January,PEMUKUL DAGING,23.0,130.0,179,
January,PIEZO IGNITER UK 18.MM,,20.0,131,MAINTENANCE
January,PILOT 250 MM (KOMPOR HIGH PREASURE),10.0,,14,MAINTENANCE
January,PILOT BURNER F/BUNSEN,,,111,MAINTENANCE
January,PILOT SW 9000 (SP),,,2,MAINTENANCE
January,PIRING HAWAI BLACK,2116.0,13532.0,16639,
January,PISAU BUAH BESAR,73.0,,140,
January,PISAU BUAH KECIL,70.0,,306,
January,PISAU GILING DAGING,43.0,,242,
January,PRAXIS KEEPER UK 900ML,62.0,,232,
January,PUMP DISPENSER,7.0,54.0,47,
January,RAK GALON OJOL,,,45,
January,RAK KONTAINER KECIL,26.0,,22,
January,RAK MUKENA,4.0,15.0,15,
January,RAK PENITIPAN BARANG CUSTOMER,7.0,29.0,22,
January,RAK SEPATU KARYAWAN,8.0,,48,
January,REGULATOR,85.0,,97,MAINTENANCE
January,SAFETY GAS COOK (GASVALVE GS3878)8325183,,,113,MAINTENANCE
January,SAFETY GAS VALVE WITH INLET BRACKET&SREW,,,,MAINTENANCE
January,SAJADAH,21.0,75.0,66,
January,SARINGAN MIE,1003.0,1600.0,1467,
January,SARINGAN MINYAK,100.0,,102,
January,SARINGAN TEH GACOAN,74.0,115.0,241,
January,SARUNG,21.0,70.0,61,
January,SCALE OFF (PEMBERSIH TANGKI BOILER),153.0,116.0,128,
January,SEAL PACK 3.5 LTR/3500 ML,397.0,192.0,294,
January,SEAL PACK DIMSUM,393.0,264.0,245,
January,SEAL PACK POWDER,112.0,72.0,262,
January,SENDOK ES STAINLESS,84.0,,201,
January,SENDOK MAKAN STAINLESS,24.0,,504,
January,SENDOK TAKAR 12 GRM,19.0,,206,
January,SENDOK TAKAR PLASTIK,78.0,,178,
January,SENDOK TAKAR STAINLESS,134.0,200.0,494,
January,SEROK BESAR KAWAT,58.0,50.0,26,
January,SEROK ICE,63.0,12.0,265,
January,SHAKER 750,69.0,115.0,341,
January,SPATULA MIE IBLIS ( SODET COKLAT ),71.0,60.0,182,
January,SPATULA STAINLESS,178.0,200.0,310,
January,STEMPEL,55.0,,145,
January,STICK PENGGANTI LAMPU,7.0,25.0,22,
January,STIK DRUM,206.0,180.0,109,
January,STRAINER BOWL STAINLESS LUBANG BASKOM KECIL,140.0,500.0,440,
January,SUTIL,34.0,30.0,42,
January,TALENAN PLASTIK,35.0,12.0,29,
January,TANGGA 3 METER,4.0,25.0,21,
January,TANGKI BOILER,,,,MAINTENANCE
January,TEKO BESAR ( BIANG TEH ),31.0,,50,
January,TEMPAT SAMPAH 80 L (TERTUTUP & INJAK),15.0,,137,
January,TEMPAT SAMPAH ABU-ABU 20 LTR,177.0,300.0,132,
January,TEMPAT SAMPAH BESAR UK 80 LTR,24.0,20.0,37,
January,TEMPAT SAMPAH KECIL UK 10 LTR,74.0,120.0,87,
January,TEMPAT SENDOK,2.0,,43,
January,TEMPAT SENDOK FELICIA JUMBO,21.0,87.0,66,
January,TEMPAT TIMER,32.0,55.0,23,
January,TERMOGUN,29.0,45.0,86,
January,TERMOMETER,55.0,73.0,92,
January,TERMOS AIR,18.0,,49,
January,THERMOCOUPLE,,10.0,106,MAINTENANCE
January,"THERMOCOUPLE 2C 24"" GS 2185 (GRIDLE)",,,,MAINTENANCE
January,TIMBANGAN 100 KG,16.0,25.0,17,
January,TIMBANGAN DIGITAL FORTUNO 30 KG,38.0,120.0,69,
January,TIMBANGAN DIGITAL KECIL,7.0,25.0,22,
January,TIMER DIGITAL,598.0,10.0,169,
January,TOOL BOX,14.0,20.0,24,
January,TOPLES UK 18 LTR,439.0,480.0,271,
January,TOPLES UK 4 LTR,119.0,72.0,264,
January,TOPLES UK 9 LTR,218.0,72.0,250,
January,TOWEL,5732.0,7880.0,9855,
January,TROLLI CLEAR UP,29.0,115.0,144,
January,TROLLI LOADING,11.0,10.0,16,
January,WAJAN BESI UK 50',27.0,35.0,34,
January,WAJAN BESI UK 70',20.0,35.0,60,
February,AKRILIC PRINTER,53.0,1.0,183,
February,ALAT PEL,42.0,101.0,119,
February,ALAT PEMADAM KEBAKARAN ( APAR ),7.0,10.0,6,
February,AMBRO FLATWARE BASKET,7.0,,40,
February,APAR POWDER 3KG,14.0,12.0,4,
February,APAR TIPE K 6KG,7.0,6.0,2,
February,ASBAK,276.0,456.0,392,
February,BABY CHAIR,14.0,26.0,27,
February,BAK THAWING BULAT 80 L,9.0,25.0,40,
February,BALON WHISK,19.0,15.0,60,
February,BASKOM KOTAK BESAR,251.0,240.0,305,
February,BASKOM STAINLESS 12 CM,44.0,85.0,125,
February,BASKOM STAINLESS 18 CM,90.0,60.0,105,
February,BASKOM STAINLESS UK 14 CM,23.0,15.0,41,
February,BASKOM STAINLESS UK 26 CM,26.0,20.0,24,
February,BILL HOLDER,57.0,100.0,158,
February,BOTOL DIPPING BESAR,93.0,,172,
February,BOTOL KECAP KECIL,206.0,432.0,335,
February,BOTOL SPRAY,220.0,210.0,322,
February,BURNER GS UK 9 NP,,,66,MAINTENANCE
February,CADDY BAG,42.0,50.0,40,
February,CAPIT SNACK ( BESAR ),58.0,,32,
February,CASH BOX,7.0,,26,
February,CETING TRADISI ( BESAR ),129.0,276.0,240,
February,CETING TRADISI ( KECIL ),30.0,,627,
February,COOL BOX 55LTR,10.0,10.0,11,
February,DIGITAL CALIPER,7.0,,15,
February,DISPENSER,24.0,50.0,89,
February,DISPENSER SABUN KRISBOW,28.0,50.0,24,
February,DITEKTOR UANG PALSU,26.0,,67,
February,DUST BIN KUNING 240 LTR (TEMPAT SAMPAH),26.0,35.0,43,
February,DUSTBIN STAINLESS BULAT,7.0,,15,
February,EMBER,12.0,40.0,112,
February,EMBER 6 GL,27.0,46.0,51,
February,EROS MELAMINE UK BESAR,19.0,40.0,79,
February,EROS STAINLESS UK 30 CC,43.0,110.0,376,
February,EROS STAINLESS UK 60 CC,34.0,,330,
February,EROS STAINLESS UK 90 CC,36.0,,333,
February,EROS STAINLESS UK BESAR,12.0,22.0,62,
February,FILLING KABINET,8.0,1.0,14,
February,FOOD PAN KECIL,40.0,50.0,36,
February,GARPU ADUKAN MIE,124.0,60.0,20,
February,GARPU MAKAN,12.0,,528,
February,GAS BURNER ( LONG SHUN ),17.0,12.0,17,MAINTENANCE
February,GAS KNOP DIA 8 MM W,,,87,MAINTENANCE
February,GAS KNOP F/JP SERIES,,,60,MAINTENANCE
February,GAS VALVE HIGH PREASURE (CONTROL SE),,5.0,5,MAINTENANCE
February,GAS VALVE HP DOUBLE TURBO,18.0,20.0,22,MAINTENANCE
February,GELAS KARYAWAN,987.0,1920.0,1332,
