Quarter,Nama Barang,AVG PICK UP,AVG PEMBELIAN,AVG SALDO AKHIR,HARGA PEMBELIAN TERAKHIR,TOTAL [PEMBELIAN],OVERSTOCK,BUFFER STOCK,TOTAL [SALDO AKHIR],ANGKA STANDART BARU,OVERSTOCK [ANGKA STANDART BARU],ANGKA STANDART LAMA,Kategori,OVERSTOCK [ANGKA STANDART LAMA]
Q1,AKRILIC PRINTER,53.0,144.0,281.0,41500.0,5976000.0,OVER,7.0,11661500.0,60.0,OVER,192,,OVER
Q1,ALAT PEL,60.0,58.0,81.0,35000.0,2030000.0,OK,27.0,2835000.0,87.0,OK,102,,LOW
Q1,ALAT PEMADAM KEBAKARAN ( APAR ),10.0,22.0,16.0,750000.0,16500000.0,OVER,4.0,12000000.0,14.0,OVER,19,,LOW
Q1,AMBRO FLATWARE BASKET,7.0,25.0,40.0,85000.0,2125000.0,OVER,1.0,3400000.0,8.0,OVER,32,,OVER
Q1,APAR POWDER 3KG,13.0,23.0,16.0,450000.0,10350000.0,OVER,3.0,7200000.0,16.0,OK,27,,LOW
Q1,APAR TIPE K 6KG,6.0,10.0,6.0,1550000.0,15500000.0,OK,2.0,9300000.0,8.0,OK,16,,LOW
Q1,ASBAK,269.0,354.0,361.0,11000.0,3894000.0,OVER,71.0,3971000.0,340.0,OVER,400,,LOW
Q1,BABY CHAIR,14.0,27.0,18.0,286247.0,7728669.0,OVER,2.0,5152446.0,16.0,OVER,52,,LOW
Q1,BAK THAWING BULAT 80 L,8.0,27.0,32.0,389193.75,10508231.25,OVER,1.0,12454200.0,9.0,OVER,46,,LOW
Q1,BALON WHISK,21.0,45.0,79.0,65000.0,2925000.0,OVER,7.0,5135000.0,28.0,OVER,48,,OVER
Q1,BASKOM KOTAK BESAR,221.0,304.0,414.0,38000.0,11552000.0,OVER,44.0,15732000.0,265.0,OVER,360,,OVER
Q1,BASKOM STAINLESS 12 CM,45.0,110.0,138.0,7200.0,792000.0,OVER,11.0,993600.0,56.0,OVER,92,,OVER
Q1,BASKOM STAINLESS 18 CM,93.0,155.0,128.0,20000.0,3100000.0,OVER,38.0,2560000.0,131.0,OK,168,,LOW
Q1,BASKOM STAINLESS UK 14 CM,15.0,70.0,80.0,8400.0,588000.0,OVER,8.0,672000.0,23.0,OVER,49,,OVER
Q1,BASKOM STAINLESS UK 26 CM,30.0,43.0,41.0,37500.0,1612500.0,OVER,15.0,1537500.0,45.0,OK,35,,OK
Q1,BILL HOLDER,39.0,125.0,185.0,120000.0,15000000.0,OVER,18.0,22200000.0,57.0,OVER,166,,OVER
Q1,BOTOL DIPPING BESAR,69.0,324.0,286.0,12500.0,4050000.0,OVER,24.0,3575000.0,93.0,OVER,131,,OVER
Q1,BOTOL KECAP KECIL,187.0,438.0,356.0,10000.0,4380000.0,OVER,40.0,3560000.0,227.0,OVER,355,,OK
Q1,BOTOL SPRAY,230.0,254.0,367.0,15900.0,4038600.0,OVER,56.0,5835300.0,286.0,OVER,433,,LOW
Q1,BURNER GS UK 9 NP,,,66.0,1838833.03,,OK,0.0,121362979.98,0.0,OVER,0,MAINTENANCE,OVER
Q1,CADDY BAG,44.0,50.0,58.0,49800.0,2490000.0,OVER,4.0,2888400.0,48.0,OVER,166,,LOW
Q1,CAPIT SNACK ( BESAR ),77.0,206.0,69.0,16000.0,3296000.0,OK,37.0,1104000.0,114.0,LOW,82,,LOW
Q1,CASH BOX,6.0,18.0,32.0,519920.0,9358560.0,OVER,2.0,16637440.0,8.0,OVER,16,,OVER
Q1,CETING TRADISI ( BESAR ),145.0,304.0,235.0,45000.0,13680000.0,OVER,64.0,10575000.0,209.0,OVER,240,,LOW
Q1,CETING TRADISI ( KECIL ),38.0,300.0,618.0,1167.0,350100.0,OVER,19.0,721206.0,57.0,OVER,73,,OVER
Q1,COOL BOX 55LTR,12.0,16.0,15.0,790000.0,12640000.0,OVER,4.0,11850000.0,16.0,OK,22,,LOW
Q1,DIGITAL CALIPER,7.0,29.0,15.0,398659.0,11561111.0,OVER,1.0,5979885.0,8.0,OVER,27,,LOW
Q1,DISPENSER,27.0,35.0,74.0,193000.0,6755000.0,OVER,9.0,14282000.0,36.0,OVER,55,,OVER
Q1,DISPENSER SABUN KRISBOW,25.0,34.0,17.0,144415.0,4910110.0,OK,13.0,2455055.0,38.0,LOW,104,,LOW
Q1,DITEKTOR UANG PALSU,27.0,90.0,104.0,65000.0,5850000.0,OVER,7.0,6760000.0,34.0,OVER,51,,OVER
Q1,DUST BIN KUNING 240 LTR (TEMPAT SAMPAH),32.0,51.0,45.0,565000.0,28815000.0,OVER,6.0,25425000.0,38.0,OVER,102,,LOW
Q1,DUSTBIN STAINLESS BULAT,7.0,25.0,16.0,215590.0,5389750.0,OVER,1.0,3449440.0,8.0,OVER,27,,LOW
Q1,EMBER,16.0,35.0,107.0,249900.0,8746500.0,OVER,6.0,26739300.0,22.0,OVER,27,,OVER
Q1,EMBER 6 GL,27.0,58.0,52.0,80000.0,4640000.0,OVER,18.0,4160000.0,45.0,OVER,55,,LOW
Q1,EROS MELAMINE UK BESAR,29.0,55.0,83.0,11799.0,648945.0,OVER,7.0,979317.0,36.0,OVER,52,,OVER
Q1,EROS STAINLESS UK 30 CC,43.0,120.0,377.0,23000.0,2760000.0,OVER,17.0,8671000.0,60.0,OVER,81,,OVER
Q1,EROS STAINLESS UK 60 CC,36.0,,324.0,28000.0,,OK,17.0,9072000.0,53.0,OVER,67,,OVER
Q1,EROS STAINLESS UK 90 CC,40.0,,324.0,35000.0,,OK,22.0,11340000.0,62.0,OVER,72,,OVER
Q1,EROS STAINLESS UK BESAR,12.0,41.0,74.0,45000.0,1845000.0,OVER,3.0,3330000.0,15.0,OVER,26,,OVER
Q1,FILLING KABINET,7.0,2.0,14.0,1600000.0,3200000.0,OK,2.0,22400000.0,9.0,OVER,36,,LOW
Q1,FOOD PAN KECIL,33.0,80.0,60.0,27500.0,2200000.0,OVER,7.0,1650000.0,40.0,OVER,69,,LOW
Q1,GARPU ADUKAN MIE,135.0,231.0,125.0,46199.0,10671969.0,OK,17.0,5774875.0,152.0,LOW,257,,LOW
Q1,GARPU MAKAN,16.0,15.0,508.0,27500.0,412500.0,OK,8.0,13970000.0,24.0,OVER,23,,OVER
Q1,GAS BURNER ( LONG SHUN ),13.0,12.0,17.0,450000.0,5400000.0,OK,4.0,7650000.0,17.0,OK,0,MAINTENANCE,OVER
Q1,GAS KNOP DIA 8 MM W,,45.0,102.0,78426.0,3529170.0,OVER,0.0,7999452.0,0.0,OVER,0,MAINTENANCE,OVER
Q1,GAS KNOP F/JP SERIES,,28.0,72.0,61129.0,1711612.0,OVER,0.0,4401288.0,0.0,OVER,0,MAINTENANCE,OVER
Q1,GAS VALVE HIGH PREASURE (CONTROL SE),,25.0,28.0,135000.0,3375000.0,OVER,0.0,3780000.0,0.0,OVER,0,MAINTENANCE,OVER
