CAB,MONTH,Kategori,GO RESTO,GRAB FOOD,QRIS SHOPEE,QRIS TELKOM/ESB,SHOPEEPAY
BDGGAT,01-Aug-24,BAYAR 1 KALI - BANYAK STRUK (QRIS),0,0,0,0,0
BDGGAT,01-Aug-24,BAYAR LEBIH DARI 1 KALI - 1 STRUK (QRIS),0,0,0,0,0
BDGGAT,01-Aug-24,BAYAR LEBIH DARI 1 KALI - BANYAK STRUK (QRIS),0,0,0,0,0
BDGGAT,01-Aug-24,CANCEL NOTA,-74004,0,0,0,0
BDGGAT,01-Aug-24,DOUBLE INPUT,-27501,-58003,-1000,0,-478508
BDGGAT,01-Aug-24,INVOICE BEDA HARI,-285015,-2439494,-765500,0,-6356081
BDGGAT,01-Aug-24,KURANG INPUT (OJOL),0,0,0,0,0
BDGGAT,01-Aug-24,PROMO MARKETING/ADJUSTMENT,0,121319.09,0,0,0
BDGGAT,01-Aug-24,SALAH SLOT PEMBAYARAN,-19504,0,-126000,0,20499
BDGGAT,01-Aug-24,SELISIH IT,1385,-12000,0,0,-386058
BDGGAT,01-Aug-24,SELISIH KURANG BAYAR OJOL,0,0,0,0,-79505
BDGGAT,01-Aug-24,SELISIH KURANG BAYAR QRIS,0,0,-5000,0,0
BDGGAT,01-Aug-24,SELISIH LEBIH BAYAR OJOL,0,0,0,0,91997
BDGGAT,01-Aug-24,SELISIH LEBIH BAYAR QRIS,0,0,47500,0,0
BDGGAT,01-Aug-24,TIDAK ADA INVOICE OJOL,0,0,0,0,-477510
BDGGAT,01-Aug-24,TIDAK ADA INVOICE QRIS,0,0,-626000,0,0
BDGGAT,01-Aug-24,TIDAK ADA TRANSAKSI DI WEB,0,0,372501,0,55001
BDGGAT,01-Aug-24,TRANSAKSI KEMARIN,285015,2237550,855502,0,6227579
BDGGAT,01-Jul-24,BAYAR 1 KALI - BANYAK STRUK (QRIS),0,0,0,0,0
BDGGAT,01-Jul-24,BAYAR LEBIH DARI 1 KALI - 1 STRUK (QRIS),0,0,0,0,0
BDGGAT,01-Jul-24,CANCEL NOTA,-112506,0,-80500,0,-214006
BDGGAT,01-Jul-24,DOUBLE INPUT,-105002,0,-206000,0,-754536
BDGGAT,01-Jul-24,INVOICE BEDA HARI,-295515,-3520317,-1559500,0,-10740595
BDGGAT,01-Jul-24,KURANG INPUT (OJOL),0,0,0,0,0
BDGGAT,01-Jul-24,PROMO MARKETING/ADJUSTMENT,0,-1770,0,0,0
BDGGAT,01-Jul-24,SALAH SLOT PEMBAYARAN,-134495,0,225000,0,78996
BDGGAT,01-Jul-24,SELISIH IT,4043,-6005,0,0,-101122
BDGGAT,01-Jul-24,SELISIH KURANG BAYAR OJOL,-48997,0,0,0,-26003
BDGGAT,01-Jul-24,SELISIH KURANG BAYAR QRIS,0,0,-62000,0,0
BDGGAT,01-Jul-24,SELISIH LEBIH BAYAR OJOL,59002,0,0,0,128497
BDGGAT,01-Jul-24,SELISIH LEBIH BAYAR QRIS,0,0,40500,0,0
BDGGAT,01-Jul-24,TIDAK ADA INVOICE OJOL,0,-303021,0,0,-968515
BDGGAT,01-Jul-24,TIDAK ADA INVOICE QRIS,0,0,-772000,0,0
BDGGAT,01-Jul-24,TIDAK ADA TRANSAKSI DI WEB,0,67003,209500,0,386502
BDGGAT,01-Jul-24,TRANSAKSI KEMARIN,536050,3912701,1646000,0,12457201
BDGNAS,01-Apr-24,BAYAR 1 KALI - BANYAK STRUK (QRIS),0,0,12500,0,0
BDGNAS,01-Apr-24,BAYAR LEBIH DARI 1 KALI - 1 STRUK (QRIS),0,0,0,0,0
BDGNAS,01-Apr-24,BAYAR LEBIH DARI 1 KALI - BANYAK STRUK (QRIS),0,0,0,0,0
BDGNAS,01-Apr-24,DOUBLE INPUT,-72512,-303012,0,0,-970547
BDGNAS,01-Apr-24,INVOICE BEDA HARI,-131018,-5192305,-431000,0,-15942359
BDGNAS,01-Apr-24,KURANG INPUT (OJOL),0,0,0,0,0
BDGNAS,01-Apr-24,PROMO MARKETING/ADJUSTMENT,0,-19682,0,0,-123720
BDGNAS,01-Apr-24,SALAH SLOT PEMBAYARAN,-389009,-48002,435517,0,790024
BDGNAS,01-Apr-24,SELISIH IT,134846,-400538,0,0,1414817
BDGNAS,01-Apr-24,SELISIH KURANG BAYAR OJOL,0,0,0,0,-82003
BDGNAS,01-Apr-24,SELISIH KURANG BAYAR QRIS,0,0,-29000,0,0
BDGNAS,01-Apr-24,SELISIH LEBIH BAYAR OJOL,124012,0,0,0,89021
BDGNAS,01-Apr-24,SELISIH LEBIH BAYAR QRIS,0,0,17100,0,0
BDGNAS,01-Apr-24,TIDAK ADA INVOICE OJOL,-197514,-669943,0,0,-724050
BDGNAS,01-Apr-24,TIDAK ADA INVOICE QRIS,0,0,-1739000,0,0
BDGNAS,01-Apr-24,TIDAK ADA TRANSAKSI DI WEB,397540,0,112500,0,125548
BDGNAS,01-Apr-24,TRANSAKSI KEMARIN,131018,5413040,431000,0,16279437
BDGNAS,01-Aug-24,BAYAR 1 KALI - BANYAK STRUK (QRIS),0,0,0,0,0
BDGNAS,01-Aug-24,BAYAR LEBIH DARI 1 KALI - 1 STRUK (QRIS),0,0,0,0,0
BDGNAS,01-Aug-24,CANCEL NOTA,-73004,0,0,0,-241505
BDGNAS,01-Aug-24,DOUBLE INPUT,-44003,0,-2613500,0,-1157016
BDGNAS,01-Aug-24,INVOICE BEDA HARI,-122005,-3396882,-185000,0,-11753142
BDGNAS,01-Aug-24,KURANG INPUT (OJOL),0,0,0,0,0
BDGNAS,01-Aug-24,PROMO MARKETING/ADJUSTMENT,0,166308.19,0,0,0
BDGNAS,01-Aug-24,SALAH SLOT PEMBAYARAN,448533,0,734500,0,-433507
BDGNAS,01-Aug-24,SELISIH IT,1430,-14000,0,0,-828117
BDGNAS,01-Aug-24,SELISIH KURANG BAYAR OJOL,0,0,0,0,-71506
BDGNAS,01-Aug-24,SELISIH KURANG BAYAR QRIS,0,0,-27500,0,0
BDGNAS,01-Aug-24,SELISIH LEBIH BAYAR OJOL,14002,0,0,0,43997
BDGNAS,01-Aug-24,SELISIH LEBIH BAYAR QRIS,0,0,36500,0,0
BDGNAS,01-Aug-24,TIDAK ADA INVOICE OJOL,0,-67005,-18500,0,-119501
BDGNAS,01-Aug-24,TIDAK ADA INVOICE QRIS,0,0,-1535500,0,0
BDGNAS,01-Aug-24,TIDAK ADA TRANSAKSI DI WEB,0,0,2165681,0,58000
BDGNAS,01-Aug-24,TRANSAKSI KEMARIN,94504,3455952,125500,0,10618628
BDGNAS,01-Feb-24,BAYAR 1 KALI - BANYAK STRUK (QRIS),0,0,0,0,0
BDGNAS,01-Feb-24,BAYAR LEBIH DARI 1 KALI - 1 STRUK (QRIS),0,0,0,0,0
BDGNAS,01-Feb-24,CANCEL NOTA,-86007,-25458,0,0,-71500
BDGNAS,01-Feb-24,DOUBLE INPUT,-30000,-40917,-23000,0,-1335825
BDGNAS,01-Feb-24,INVOICE BEDA HARI,-15003,-3668956,-11500,0,-15277986
BDGNAS,01-Feb-24,KURANG INPUT (OJOL),0,0,0,0,0
BDGNAS,01-Feb-24,PROMO MARKETING/ADJUSTMENT,0,175245,0,0,-155080
BDGNAS,01-Feb-24,SALAH SLOT PEMBAYARAN,113522,0,683000,0,-143531
BDGNAS,01-Feb-24,SELISIH IT,4689,-6001,0,0,-179956
BDGNAS,01-Feb-24,SELISIH KURANG BAYAR OJOL,-27500,0,0,0,-138500
BDGNAS,01-Feb-24,SELISIH KURANG BAYAR QRIS,0,0,-7500,0,0
