MONTH,CAB,CANCEL NOTA,DOUBLE INPUT,TIDAK ADA INVOICE OJOL,TIDAK ADA INVOICE QRIS,SELISIH,TOTAL
01-Jan-24,BKSJUA,8220586,1257000,750335,1365000,3372335,11592921
01-Jan-24,MKSTUN,1142500,328500,649240,0,977740,2120240
01-Jan-24,MKSAHM,1544000,531000,477230,82500,1090730,2634730
01-Jan-24,KYBTEB,6548421,0,2626833,86000,2712833,9261254
01-Jan-24,JMRSUM,867000,218457,310000,52000,580457,1447457
01-Jan-24,DPKJAS,4242869,652000,791820,0,1443820,5686689
01-Jan-24,CKGBOU,3856173,836572,1470352,131000,2437924,6294097
01-Jan-24,BKSJAT,4244284,936176,513861,381000,1831037,6075321
01-Jan-24,BDGNAS,4016014,1348743,375150,900000,2623893,6639907
01-Feb-24,DPKJAS,2309160,610467,482326,39000,1131793,3440953
01-Feb-24,CBNPEM,531604,28500,172000,0,200500,732104
01-Feb-24,CBICIB,1624500,90000,399000,34500,523500,2148000
01-Feb-24,CKGBOU,1436687,1163725,463199,0,1626924,3063611
01-Feb-24,BKSJAT,3384900,380375,47009,66000,493384,3878284
01-Feb-24,JMRSUM,174722,66386,174288,0,240674,415396
01-Feb-24,BDGNAS,182965,1429742,610027,1136500,3176269,3359234
01-Feb-24,BKSJUA,6271185,1387194,243500,278000,1908694,8179879
01-Feb-24,KYBKES,2421491,1026885,253539,10500,1290924,3712415
01-Feb-24,MKSTUN,47000,256000,1216180,0,1472180,1519180
01-Feb-24,MKSAHM,1112000,853000,1699280,21500,2573780,3685780
01-Feb-24,MLGCIL,89000,56000,96697,0,152697,241697
01-Feb-24,MLGRON,136544,20500,160545,56000,237045,373589
01-Feb-24,MLGTLO,2287697,245467,509501,4500,759468,3047165
01-Feb-24,PBLSUR,42000,98000,145500,40000,283500,325500
01-Feb-24,TNGHAS,1368557,1997000,1502597,3478000,6977597,8346154
01-Feb-24,KYBTEB,6192946,1887520,810719,298000,2996239,9189185
01-Mar-24,KYBTEB,13239707,3180366,3296637,184500,6661503,19901210
01-Mar-24,BDGNAS,102029,1549243,840113,658000,3047356,3149385
01-Mar-24,MLGJAK,125566,165065,340702,54000,559767,685333
01-Mar-24,NPHLEM,591716,130023,0,43500,173523,765239
01-Mar-24,PBLSUR,0,0,214777,226000,440777,440777
01-Mar-24,SDAGEL,576700,119550,41511,6500,167561,744261
01-Mar-24,TNGHAS,2127815,2102000,2666379,2493500,7261879,9389694
01-Mar-24,KYBKES,1087418,149578,362756,15500,527834,1615252
01-Mar-24,MLGTLO,2686055,845029,635601,1414500,2895130,5581185
01-Mar-24,DPKBOJ,260086,130529,577060,234500,942089,1202175
01-Mar-24,CPTPUS,772174,724000,1959820,466999,3150819,3922993
01-Mar-24,CKGBOU,2077227,1015935,1701696,97499,2815130,4892357
01-Mar-24,CBNPEM,577000,0,45000,76000,121000,698000
01-Mar-24,CBICIB,1313100,73500,146000,300000,519500,1832600
01-Mar-24,BKSJAT,3445802,1327045,841479,620500,2789024,6234826
01-Mar-24,MKSTUN,1137080,256000,1340240,227500,1823740,2960820
01-Mar-24,BGRPAD,732275,568834,162581,542000,1273415,2005690
01-Mar-24,KDRKED,134000,66500,161525,153000,381025,515025
01-Mar-24,MKSAHM,3048210,1048000,1052440,402500,2502940,5551150
01-Apr-24,BDGNAS,0,1346071,1591507,1739000,4676578,4676578
01-Apr-24,SDAGEL,929046,479545,279005,0,758550,1687596
01-Apr-24,NPHLEM,793580,256500,111505,0,368005,1161585
01-Apr-24,MLGTLO,1656509,913502,2146143,497500,3557145,5213654
01-Apr-24,MLGJAK,260008,252525,398074,375500,1026099,1286107
01-Apr-24,MKSTUN,2145054,461500,2689575,58500,3209575,5354629
01-Apr-24,MKSAHM,3158191,453000,1021457,0,1474457,4632648
01-Apr-24,KYBTEB,17683242,2927368,6308664,0,9236032,26919274
01-Apr-24,KYBKES,8014664,306030,1100078,50000,1456108,9470772
01-Apr-24,KDRKED,209002,112000,0,12000,124000,333002
01-Apr-24,DPKBOJ,625034,64009,596652,13500,674161,1299195
01-Apr-24,CPTPUS,814255,238000,632513,55500,926013,1740268
01-Apr-24,CKGBOU,1527098,1606719,1559601,17500,3183820,4710918
01-Apr-24,CBNPEM,1017000,548000,291000,127500,966500,1983500
01-Apr-24,CBICIB,1756479,490000,98000,155000,743000,2499479
01-Apr-24,BKSJAT,1810812,925028,1834241,1793000,4552269,6363081
01-Apr-24,BGRPAD,726183,255553,412157,0,667710,1393893
01-Apr-24,PBLSUR,54301,65000,45000,19000,129000,183301
01-Apr-24,TNGHAS,3149831,2802000,6696926,1262000,10760926,13910757
01-May-24,BDGPAS,1551500,718500,392500,76000,1187000,2738500
01-May-24,SDAGEL,543199,239584,533187,73500,846271,1389470
01-May-24,BDGTER,1112739,22515,988106,0,1010621,2123360
01-May-24,BGRPAD,953562,118046,199809,122500,440355,1393917
01-May-24,BKSJAT,2685475,1771310,685251,180000,2636561,5322036
01-May-24,CBICIB,1177098,520685,103500,102000,726185,1903283
01-May-24,CPTPUS,1058564,184500,408816,485500,1078816,2137380
01-May-24,DPKBOJ,258398,0,242620,93000,335620,594018
01-May-24,KYBKES,2654957,267160,174640,68500,510300,3165257
01-May-24,KYBTEB,10702016,1731657,8267257,0,9998914,20700930
01-May-24,MKSAHM,1749113,60000,65000,59500,184500,1933613
01-May-24,MLGJAK,326111,140053,302121,386500,828674,1154785
01-May-24,MLGSUP,1110879,295612,91009,1328000,1714621,2825500
01-May-24,MLGTLO,2052000,942545,955657,1040500,2938702,4990702
01-May-24,NPHLEM,762863,224536,61035,15500,301071,1063934
01-May-24,PBLSUR,0,0,0,72000,72000,72000
01-May-24,SBYSUN,854769,1073805,259561,717000,2050366,2905135
01-May-24,BDGNAS,0,1317056,1307396,1206500,3830952,3830952
01-May-24,TNGHAS,937734,1789000,1437214,1925500,5151714,6089448
01-May-24,YYKTAM,2695616,1166000,475500,638500,2280000,4975616
01-Jun-24,MLGTLO,1772217,1365688,1086632,482000,2934320,4706537
01-Jun-24,BDGNAS,109519,914902,1463524,84000,2462426,2571945
01-Jun-24,BDGPAS,905308,328500,249500,416000,994000,1899308
01-Jun-24,BDGTER,627402,81000,354000,77500,512500,1139902
01-Jun-24,BGRPAD,643260,336587,37009,130500,504096,1147356
01-Jun-24,BKSJAT,1922737,1253477,372666,1069500,2695643,4618380
01-Jun-24,CBICIB,843193,78500,44500,67000,190000,1033193
01-Jun-24,CPTPUS,680051,182500,1036151,522000,1740651,2420702
01-Jun-24,DPKBOJ,658158,43009,1116949,185500,1345458,2003616
01-Jun-24,KYBKES,3491358,276554,455262,57500,789316,4280674
01-Jun-24,MKSAHM,1673474,220500,675214,73000,968714,2642188
01-Jun-24,KYBTEB,20355108,1615266,3415015,188500,5218781,25573889
01-Jun-24,MLGSUP,506647,139040,188581,623500,951121,1457768
