CAB,MONTH,SOURCE,KAT,NOM
BDGGAT,01-Aug-24,INVOICE,GO RESTO,164623393
BDGGAT,01-Aug-24,INVOICE,GRAB FOOD,108320365.1
BDGGAT,01-Aug-24,INVOICE,QRIS SHOPEE,252434003
BDGGAT,01-Aug-24,INVOICE,SHOPEEPAY,993909957
BDGGAT,01-Aug-24,WEB,CASH,838756500
BDGGAT,01-Aug-24,WEB,EDC,73665000
BDGGAT,01-Aug-24,WEB,GO RESTO,164743017
BDGGAT,01-Aug-24,WEB,GRAB FOOD,108470993
BDGGAT,01-Aug-24,WEB,QRIS SHOPEE,252682000
BDGGAT,01-Aug-24,WEB,SHOPEEPAY,995292543
BDGGAT,01-Jul-24,INVOICE,GO RESTO,265993215
BDGGAT,01-Jul-24,INVOICE,GRAB FOOD,125962821
BDGGAT,01-Jul-24,INVOICE,QRIS SHOPEE,289517500
BDGGAT,01-Jul-24,INVOICE,SHOPEEPAY,1015031865
BDGGAT,01-Jul-24,WEB,CASH,1024372500
BDGGAT,01-Jul-24,WEB,EDC,91361000
BDGGAT,01-Jul-24,WEB,GO RESTO,266090635
BDGGAT,01-Jul-24,WEB,GRAB FOOD,125814230
BDGGAT,01-Jul-24,WEB,QRIS SHOPEE,290076500
BDGGAT,01-Jul-24,WEB,SHOPEEPAY,1014785446
BDGNAS,01-Apr-24,INVOICE,GO RESTO,244899175
BDGNAS,01-Apr-24,INVOICE,GRAB FOOD,245108261
BDGNAS,01-Apr-24,INVOICE,QRIS SHOPEE,177273117
BDGNAS,01-Apr-24,INVOICE,SHOPEEPAY,1473705270
BDGNAS,01-Apr-24,WEB,GO RESTO,244901812
BDGNAS,01-Apr-24,WEB,GRAB FOOD,246328703
BDGNAS,01-Apr-24,WEB,QRIS SHOPEE,178463500
BDGNAS,01-Apr-24,WEB,SHOPEEPAY,1472849102
BDGNAS,01-Aug-24,INVOICE,GO RESTO,167572064
BDGNAS,01-Aug-24,INVOICE,GRAB FOOD,154329606.2
BDGNAS,01-Aug-24,INVOICE,QRIS SHOPEE,294618681
BDGNAS,01-Aug-24,INVOICE,SHOPEEPAY,1390501965
BDGNAS,01-Aug-24,WEB,CASH,1061098000
BDGNAS,01-Aug-24,WEB,GO RESTO,167252607
BDGNAS,01-Aug-24,WEB,GRAB FOOD,154185233
BDGNAS,01-Aug-24,WEB,QRIS SHOPEE,295936500
BDGNAS,01-Aug-24,WEB,SHOPEEPAY,1394385634
BDGNAS,01-Feb-24,INVOICE,GO RESTO,196002548
BDGNAS,01-Feb-24,INVOICE,GRAB FOOD,184419143.2
BDGNAS,01-Feb-24,INVOICE,QRIS SHOPEE,126592568
BDGNAS,01-Feb-24,INVOICE,SHOPEEPAY,1399136481
BDGNAS,01-Feb-24,WEB,GO RESTO,196234844
BDGNAS,01-Feb-24,WEB,GRAB FOOD,184507330
BDGNAS,01-Feb-24,WEB,QRIS SHOPEE,126423500
BDGNAS,01-Feb-24,WEB,SHOPEEPAY,1401497446
BDGNAS,01-Jan-24,INVOICE,GO RESTO,306797500
BDGNAS,01-Jan-24,INVOICE,GRAB FOOD,198627610
BDGNAS,01-Jan-24,INVOICE,QRIS SHOPEE,167185400
BDGNAS,01-Jan-24,INVOICE,SHOPEEPAY,1321467013
BDGNAS,01-Jan-24,WEB,CASH,1675485000
BDGNAS,01-Jan-24,WEB,EDC,128125500
BDGNAS,01-Jan-24,WEB,GO RESTO,307920500
BDGNAS,01-Jan-24,WEB,GRAB FOOD,200546828
BDGNAS,01-Jan-24,WEB,QRIS SHOPEE,167626500
BDGNAS,01-Jan-24,WEB,SHOPEEPAY,1326328500
BDGNAS,01-Jul-24,INVOICE,GO RESTO,264679332
BDGNAS,01-Jul-24,INVOICE,GRAB FOOD,162427988.8
BDGNAS,01-Jul-24,INVOICE,QRIS SHOPEE,49167501
BDGNAS,01-Jul-24,INVOICE,SHOPEEPAY,1470624692
BDGNAS,01-Jul-24,WEB,CASH,1320568000
BDGNAS,01-Jul-24,WEB,EDC,203226000
BDGNAS,01-Jul-24,WEB,GO RESTO,263941873
BDGNAS,01-Jul-24,WEB,GRAB FOOD,162619228
BDGNAS,01-Jul-24,WEB,QRIS SHOPEE,49225500
BDGNAS,01-Jul-24,WEB,SHOPEEPAY,1473269012
BDGNAS,01-Jun-24,INVOICE,GO RESTO,301540031
BDGNAS,01-Jun-24,INVOICE,GRAB FOOD,174080872
BDGNAS,01-Jun-24,INVOICE,QRIS SHOPEE,210588
BDGNAS,01-Jun-24,INVOICE,SHOPEEPAY,1546481169
BDGNAS,01-Jun-24,WEB,CASH,1567133500
BDGNAS,01-Jun-24,WEB,EDC,225713000
BDGNAS,01-Jun-24,WEB,GO RESTO,301467996
BDGNAS,01-Jun-24,WEB,GRAB FOOD,174461749
BDGNAS,01-Jun-24,WEB,QRIS SHOPEE,84000
BDGNAS,01-Jun-24,WEB,SHOPEEPAY,1548617977
BDGNAS,01-Mar-24,INVOICE,GO RESTO,166123985
BDGNAS,01-Mar-24,INVOICE,GRAB FOOD,192798866
BDGNAS,01-Mar-24,INVOICE,QRIS SHOPEE,77622102
BDGNAS,01-Mar-24,INVOICE,SHOPEEPAY,1393745595
BDGNAS,01-Mar-24,WEB,GO RESTO,166127437
BDGNAS,01-Mar-24,WEB,GRAB FOOD,193635144
BDGNAS,01-Mar-24,WEB,QRIS SHOPEE,78196000
BDGNAS,01-Mar-24,WEB,SHOPEEPAY,1396523492
BDGNAS,01-May-24,INVOICE,GO RESTO,281078829
BDGNAS,01-May-24,INVOICE,GRAB FOOD,163461836
BDGNAS,01-May-24,INVOICE,QRIS SHOPEE,131347745
BDGNAS,01-May-24,INVOICE,SHOPEEPAY,1519850823
BDGNAS,01-May-24,WEB,GO RESTO,281079806
BDGNAS,01-May-24,WEB,GRAB FOOD,163610831
BDGNAS,01-May-24,WEB,QRIS SHOPEE,132090000
BDGNAS,01-May-24,WEB,SHOPEEPAY,1520739250
BDGPAS,01-Aug-24,INVOICE,GO RESTO,173681479
BDGPAS,01-Aug-24,INVOICE,GRAB FOOD,126703625.1
BDGPAS,01-Aug-24,INVOICE,QRIS SHOPEE,141408000
BDGPAS,01-Aug-24,INVOICE,SHOPEEPAY,705410469
BDGPAS,01-Aug-24,WEB,CASH,532409000
BDGPAS,01-Aug-24,WEB,EDC,63607500
BDGPAS,01-Aug-24,WEB,GO RESTO,173733792
BDGPAS,01-Aug-24,WEB,GRAB FOOD,126584507
BDGPAS,01-Aug-24,WEB,QRIS SHOPEE,142862000
BDGPAS,01-Aug-24,WEB,SHOPEEPAY,705584500
BDGPAS,01-Jul-24,INVOICE,GO RESTO,246830699
BDGPAS,01-Jul-24,INVOICE,GRAB FOOD,132241884
BDGPAS,01-Jul-24,INVOICE,QRIS SHOPEE,147928000
BDGPAS,01-Jul-24,INVOICE,SHOPEEPAY,717810536
BDGPAS,01-Jul-24,WEB,CASH,652553500
BDGPAS,01-Jul-24,WEB,EDC,85114500
BDGPAS,01-Jul-24,WEB,GO RESTO,247047500
BDGPAS,01-Jul-24,WEB,GRAB FOOD,132263063
BDGPAS,01-Jul-24,WEB,QRIS SHOPEE,148517000
BDGPAS,01-Jul-24,WEB,SHOPEEPAY,718151000
BDGPAS,01-Jun-24,INVOICE,GO RESTO,229334865
BDGPAS,01-Jun-24,INVOICE,GRAB FOOD,139029692
BDGPAS,01-Jun-24,INVOICE,QRIS SHOPEE,152607100
BDGPAS,01-Jun-24,INVOICE,SHOPEEPAY,721467094
BDGPAS,01-Jun-24,WEB,CASH,737422000
BDGPAS,01-Jun-24,WEB,EDC,97699500
BDGPAS,01-Jun-24,WEB,GO RESTO,229373000
BDGPAS,01-Jun-24,WEB,GRAB FOOD,139084776
BDGPAS,01-Jun-24,WEB,QRIS SHOPEE,152814000
BDGPAS,01-Jun-24,WEB,SHOPEEPAY,722205000
BDGPAS,01-May-24,INVOICE,GO RESTO,199535521
BDGPAS,01-May-24,INVOICE,GRAB FOOD,132887631
BDGPAS,01-May-24,INVOICE,QRIS SHOPEE,150200900
BDGPAS,01-May-24,INVOICE,SHOPEEPAY,700842579
BDGPAS,01-May-24,WEB,GO RESTO,200154500
BDGPAS,01-May-24,WEB,GRAB FOOD,133126792
BDGPAS,01-May-24,WEB,QRIS SHOPEE,150020500
BDGPAS,01-May-24,WEB,SHOPEEPAY,700615500
BDGTER,01-Aug-24,INVOICE,GO RESTO,73217229
BDGTER,01-Aug-24,INVOICE,GRAB FOOD,50229840
BDGTER,01-Aug-24,INVOICE,QRIS ESB,86426000
BDGTER,01-Aug-24,INVOICE,QRIS SHOPEE,44284001
BDGTER,01-Aug-24,INVOICE,SHOPEEPAY,380038695
BDGTER,01-Aug-24,WEB,CASH,365289500
BDGTER,01-Aug-24,WEB,GO RESTO,73632000
BDGTER,01-Aug-24,WEB,GRAB FOOD,50266472
BDGTER,01-Aug-24,WEB,QRIS ESB,86426000
BDGTER,01-Aug-24,WEB,QRIS SHOPEE,44151500
BDGTER,01-Aug-24,WEB,SHOPEEPAY,380306500
BDGTER,01-Jul-24,INVOICE,GO RESTO,113095294
BDGTER,01-Jul-24,INVOICE,GRAB FOOD,54634497
BDGTER,01-Jul-24,INVOICE,QRIS ESB,63358500
BDGTER,01-Jul-24,INVOICE,QRIS SHOPEE,46389500
BDGTER,01-Jul-24,INVOICE,SHOPEEPAY,375026677
BDGTER,01-Jul-24,WEB,CASH,462899000
BDGTER,01-Jul-24,WEB,EDC,24397500
BDGTER,01-Jul-24,WEB,GO RESTO,112893000
BDGTER,01-Jul-24,WEB,GRAB FOOD,54925424
BDGTER,01-Jul-24,WEB,QRIS ESB,63358500
BDGTER,01-Jul-24,WEB,QRIS SHOPEE,46339000
BDGTER,01-Jul-24,WEB,SHOPEEPAY,375453500
BDGTER,01-Jun-24,INVOICE,GO RESTO,113940253
BDGTER,01-Jun-24,INVOICE,GRAB FOOD,75011957.45
BDGTER,01-Jun-24,INVOICE,QRIS SHOPEE,76246000
BDGTER,01-Jun-24,INVOICE,SHOPEEPAY,375144390
BDGTER,01-Jun-24,WEB,CASH,561865500
BDGTER,01-Jun-24,WEB,EDC,48030000
BDGTER,01-Jun-24,WEB,GO RESTO,113791500
BDGTER,01-Jun-24,WEB,GRAB FOOD,75294148
BDGTER,01-Jun-24,WEB,QRIS SHOPEE,76118000
BDGTER,01-Jun-24,WEB,SHOPEEPAY,375636500
BDGTER,01-May-24,INVOICE,GO RESTO,75420095
BDGTER,01-May-24,INVOICE,GRAB FOOD,68574518
BDGTER,01-May-24,INVOICE,QRIS SHOPEE,65591500
BDGTER,01-May-24,INVOICE,SHOPEEPAY,324977320
BDGTER,01-May-24,WEB,CASH,444089500
BDGTER,01-May-24,WEB,EDC,49798500
BDGTER,01-May-24,WEB,GO RESTO,75609000
BDGTER,01-May-24,WEB,GRAB FOOD,69293864
BDGTER,01-May-24,WEB,QRIS SHOPEE,65609500
BDGTER,01-May-24,WEB,RESERVASI,22000
BDGTER,01-May-24,WEB,SHOPEEPAY,325458000
BGRPAD,01-Apr-24,INVOICE,GO RESTO,229542269
BGRPAD,01-Apr-24,INVOICE,GRAB FOOD,469095949
BGRPAD,01-Apr-24,INVOICE,QRIS SHOPEE,242555500
BGRPAD,01-Apr-24,INVOICE,SHOPEEPAY,805021865
BGRPAD,01-Apr-24,WEB,GO RESTO,229604764
BGRPAD,01-Apr-24,WEB,GRAB FOOD,469532458
BGRPAD,01-Apr-24,WEB,QRIS SHOPEE,242458000
BGRPAD,01-Apr-24,WEB,SHOPEEPAY,805012569
BGRPAD,01-Jun-24,INVOICE,GO RESTO,345507380
BGRPAD,01-Jun-24,INVOICE,GRAB FOOD,333687056
BGRPAD,01-Jun-24,INVOICE,QRIS SHOPEE,376576500
BGRPAD,01-Jun-24,INVOICE,SHOPEEPAY,785906750
