Month,PIC,Pemasok,Kategori Pemasok,Kategori Barang,Nama Cabang,Kode #,#Prime.Qty,#Purch.Total,min,max
January,LAINNYA,MITRAKU - NEW,Umum,01. COST - PACKAGING,SPASIL,200442,30000.0,2850000.0,95.0,95.0
January,LAINNYA,PT SURYAUTAMA KREASINUSA,KONTRAKTOR,Aset Dalam Penyelesaian [NP Resto],KYBCIL,410144,1.0,1077255000.0,1077255000.0,1077255000.0
January,LAINNYA,PT SURYAUTAMA KREASINUSA,KONTRAKTOR,Aset Dalam Penyelesaian [NP Resto],CBIMAY,410144,2.0,894282600.0,150582600.0,743700000.0
January,LAINNYA,PT SARANA REFRIGERATAMA - HO,NON-BAHAN,Biaya Ongkos Kirim [NP COST CP],PELTU,410026,1.0,1280000.0,1280000.0,1280000.0
January,LAINNYA,PT SARANA BELT INDONESIA - HO,NON-BAHAN,Instalasi Mesin / Peralatan [NP CP],PELTU,410030,2.0,53759998.0,25759999.0,27999999.0
January,LAINNYA,PT SARANA BELT INDONESIA - HO,NON-BAHAN,ASSET [AKTIVA],SINGO,910001,2.0,111000000.0,55500000.0,55500000.0
January,LAINNYA,PT SAMUDRA BIRU,VENDOR SDG,Aset Dalam Penyelesaian [NP Resto],KYBFAT,410144,2.0,785192910.0,131402910.0,653790000.0
January,LAINNYA,PT TOYA BUMI BERSIH,VENDOR SDG,Aset Dalam Penyelesaian [NP Resto],GGPDAA,410144,1.0,67500000.0,67500000.0,67500000.0
January,LAINNYA,PT SAFETY SIGN INDONESIA,VENDOR SDG,Jasa Pemeliharaan Inventaris [NP RESTO],CJRSUR,410119,1.0,1403000.0,1403000.0,1403000.0
January,LAINNYA,PT SAFETY SIGN INDONESIA,VENDOR SDG,Biaya Inventaris [NP RESTO],CJRSUR,410003,1.0,2665800.0,2665800.0,2665800.0
January,LAINNYA,PT PANCANAKA BERKAH MEDIKA - HO,CORPORATE,00.COST,SINGO,200708,30000.0,15772800.0,525.76,525.76
January,LAINNYA,PT PANCANAKA BERKAH MEDIKA - HO,CORPORATE,00.COST,PELTU,200708,25000.0,13144000.0,525.76,525.76
January,LAINNYA,PT NAFI GROUP INDONESIA - HO,NON-BAHAN,Biaya Inventaris [NP RESTO],YYKKRA,410003,1.0,14602500.0,14602500.0,14602500.0
January,LAINNYA,PT GRESIK ICE SEJAHTERA - NEW,CORPORATE,Biaya Bahan Pembantu [NP COST RESTO],LMGSUD,410105,14120.0,12708000.0,900.0,900.0
January,LAINNYA,PT GRESIK ICE SEJAHTERA - NEW,CORPORATE,Biaya Bahan Pembantu [NP COST RESTO],BJNTEU,410105,15100.0,13590000.0,900.0,900.0
January,LAINNYA,PT SAFETY SIGN INDONESIA,VENDOR SDG,Biaya PPN [NP ALL,CJRSUR,410142,1.0,447568.0,447568.0,447568.0
January,LAINNYA,PT GRAHA MUTU PERSADA,VENDOR SDG,Perizinan [NP COST RESTO],SDAGEL,410013,1.0,0.0,0.0,0.0
January,LAINNYA,PT TOYA BUMI BERSIH,VENDOR SDG,Beban Service Charge Sewa [NP Resto],CBICIB,410143,1.0,2400000.0,2400000.0,2400000.0
January,LAINNYA,PT TOYA BUMI BERSIH,VENDOR SDG,Beban Service Charge Sewa [NP Resto],CKGPAH,410143,1.0,2400000.0,2400000.0,2400000.0
January,LAINNYA,PT TOYA BUMI BERSIH,VENDOR SDG,Beban Service Charge Sewa [NP Resto],TNGSAL,410143,1.0,2400000.0,2400000.0,2400000.0
January,LAINNYA,PT TOYA BUMI BERSIH,VENDOR SDG,Beban Service Charge Sewa [NP Resto],TNGCIL,410143,1.0,2400000.0,2400000.0,2400000.0
January,LAINNYA,PT TOYA BUMI BERSIH,VENDOR SDG,Beban Service Charge Sewa [NP Resto],TNACEM,410143,1.0,2400000.0,2400000.0,2400000.0
January,LAINNYA,PT TOYA BUMI BERSIH,VENDOR SDG,Beban Service Charge Sewa [NP Resto],SPASIL,410143,1.0,2400000.0,2400000.0,2400000.0
January,LAINNYA,PT TOYA BUMI BERSIH,VENDOR SDG,Beban Service Charge Sewa [NP Resto],SORKOP,410143,1.0,2400000.0,2400000.0,2400000.0
January,LAINNYA,PT TOYA BUMI BERSIH,VENDOR SDG,Beban Service Charge Sewa [NP Resto],SKHSOE,410143,1.0,2400000.0,2400000.0,2400000.0
January,LAINNYA,PT TOYA BUMI BERSIH,VENDOR SDG,Beban Service Charge Sewa [NP Resto],CBIMAY,410143,1.0,2400000.0,2400000.0,2400000.0
