Nama Cabang,Nomor #,Tanggal,Kode Barang,Nama Barang,Nama Gudang,Akun Penyesuaian Persediaan,Tipe Penyesuaian,Kuantitas,Total Biaya
1001.TLGTEU,IA.2024.08.02040,31/08/2024,200184,TOPLES UK 18 LTR,1001.1-G.Tulungagung - Teuku Umar (TLGTEU),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,8.0,384000.0
1001.TLGTEU,IA.2024.08.02040,31/08/2024,200182,TIMER DIGITAL,1001.1-G.Tulungagung - Teuku Umar (TLGTEU),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,5.0,82200.96009
1001.TLGTEU,IA.2024.08.02040,31/08/2024,200326,SEAL PACK POWDER,1001.1-G.Tulungagung - Teuku Umar (TLGTEU),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,4.0,64195.543348
1001.TLGTEU,IA.2024.08.02040,31/08/2024,200044,CAPIT SNACK ( BESAR ),1001.1-G.Tulungagung - Teuku Umar (TLGTEU),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,1.0,16000.007118
1001.TLGTEU,IA.2024.08.02040,31/08/2024,200433,REGULATOR,1001.1-G.Tulungagung - Teuku Umar (TLGTEU),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,4.0,380000.07328
1001.TLGTEU,IA.2024.08.02040,31/08/2024,200635,AKRILIC PRINTER,1001.1-G.Tulungagung - Teuku Umar (TLGTEU),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,1.0,42361.418151
1001.TLGTEU,IA.2024.08.02040,31/08/2024,200047,CETING TRADISI ( BESAR ),1001.1-G.Tulungagung - Teuku Umar (TLGTEU),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,5.0,225142.74315
1001.TLGTEU,IA.2024.08.02040,31/08/2024,200325,SEAL PACK 3.5 LTR/3500 ML,1001.1-G.Tulungagung - Teuku Umar (TLGTEU),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,6.0,119999.968824
1001.TLGTEU,IA.2024.08.02040,31/08/2024,200170,TALENAN PLASTIK,1001.1-G.Tulungagung - Teuku Umar (TLGTEU),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,1.0,70001.587053
1001.TLGTEU,IA.2024.08.02040,31/08/2024,200142,SARINGAN MIE,1001.1-G.Tulungagung - Teuku Umar (TLGTEU),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,12.0,874339.544472
1001.TLGTEU,IA.2024.08.02040,31/08/2024,200329,SEAL PACK DIMSUM,1001.1-G.Tulungagung - Teuku Umar (TLGTEU),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,8.0,271999.999992
1001.TLGTEU,IA.2024.08.02040,31/08/2024,200132,PISAU BUAH BESAR,1001.1-G.Tulungagung - Teuku Umar (TLGTEU),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,119999.815476
1001.TLGTEU,IA.2024.08.02040,31/08/2024,200185,TOPLES UK 4 LTR,1001.1-G.Tulungagung - Teuku Umar (TLGTEU),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,43999.989692
1001.TLGTEU,IA.2024.08.02040,31/08/2024,200083,GELAS TEA,1001.1-G.Tulungagung - Teuku Umar (TLGTEU),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,50.0,258414.40785
1001.TLGTEU,IA.2024.08.02040,31/08/2024,200187,TOPLES UK 9 LTR,1001.1-G.Tulungagung - Teuku Umar (TLGTEU),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,8.0,239999.999968
1002.MADSAP,IA.2024.08.01148,31/08/2024,200325,SEAL PACK 3.5 LTR/3500 ML,1002.1-G.Madiun - Kapten Saputra (MADSAP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,6.0,119999.968824
1002.MADSAP,IA.2024.08.01148,31/08/2024,200412,LOGGER,1002.1-G.Madiun - Kapten Saputra (MADSAP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,3.0,646822.790775
1002.MADSAP,IA.2024.08.01148,31/08/2024,200246,KNOP F/GAS COOK DIAL,1002.1-G.Madiun - Kapten Saputra (MADSAP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,132750.321216
1002.MADSAP,IA.2024.08.01148,31/08/2024,200712,KLAKAT PREMIUM,1002.1-G.Madiun - Kapten Saputra (MADSAP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,50.0,793394.42515
1002.MADSAP,IA.2024.08.01148,31/08/2024,200142,SARINGAN MIE,1002.1-G.Madiun - Kapten Saputra (MADSAP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,8.0,582893.029648
1002.MADSAP,IA.2024.08.01148,31/08/2024,200122,PEMUKUL DAGING,1002.1-G.Madiun - Kapten Saputra (MADSAP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,133266.128804
1002.MADSAP,IA.2024.08.01148,31/08/2024,200083,GELAS TEA,1002.1-G.Madiun - Kapten Saputra (MADSAP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,100.0,516828.8157
1002.MADSAP,IA.2024.08.01148,31/08/2024,200166,SPATULA STAINLESS,1002.1-G.Madiun - Kapten Saputra (MADSAP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,1.0,74980.897487
1002.MADSAP,IA.2024.08.01148,31/08/2024,200256,PIEZO IGNITER UK 18.MM,1002.1-G.Madiun - Kapten Saputra (MADSAP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,147805.570724
1002.MADSAP,IA.2024.08.01148,31/08/2024,200152,SENDOK TAKAR 12 GRM,1002.1-G.Madiun - Kapten Saputra (MADSAP),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,4373.244052
1003.MJKSUD,IA.2024.08.02064,31/08/2024,200734,TANGGA 3 METER,1003.1-G.Mojokerto - Jendral Sudirman (MJKSUD),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,1.0,1427799.983694
1003.MJKSUD,IA.2024.08.02064,31/08/2024,200184,TOPLES UK 18 LTR,1003.1-G.Mojokerto - Jendral Sudirman (MJKSUD),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,96000.0
1003.MJKSUD,IA.2024.08.02064,31/08/2024,200350,BASKOM STAINLESS UK 26 CM,1003.1-G.Mojokerto - Jendral Sudirman (MJKSUD),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,1.0,37555.223368
1003.MJKSUD,IA.2024.08.02064,31/08/2024,200187,TOPLES UK 9 LTR,1003.1-G.Mojokerto - Jendral Sudirman (MJKSUD),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,3.0,89999.999988
1003.MJKSUD,IA.2024.08.02064,31/08/2024,200083,GELAS TEA,1003.1-G.Mojokerto - Jendral Sudirman (MJKSUD),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,50.0,258414.40785
1004.KDRJOY,IA.2024.08.01156,31/08/2024,200412,LOGGER,1004.1-G.Kediri - Joyoboyo (KDRJOY),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,3.0,646822.790775
1004.KDRJOY,IA.2024.08.01156,31/08/2024,200712,KLAKAT PREMIUM,1004.1-G.Kediri - Joyoboyo (KDRJOY),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,60.0,952073.31018
1004.KDRJOY,IA.2024.08.01156,31/08/2024,200063,EROS STAINLESS UK 60 CC,1004.1-G.Kediri - Joyoboyo (KDRJOY),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,1.0,28128.701642
1004.KDRJOY,IA.2024.08.01156,31/08/2024,200158,SEROK ICE,1004.1-G.Kediri - Joyoboyo (KDRJOY),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,1.0,53883.621744
1005.SKTMAW,IA.2024.08.01494,31/08/2024,200142,SARINGAN MIE,1005.1-G.Surakarta - Mawar (SKTMAW),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,15.0,1092924.43059
1005.SKTMAW,IA.2024.08.01494,31/08/2024,200102,NAMPAN KAYU KOTAK,1005.1-G.Surakarta - Mawar (SKTMAW),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,6.0,990000.0
1005.SKTMAW,IA.2024.08.01494,31/08/2024,200449,TEMPAT TIMER,1005.1-G.Surakarta - Mawar (SKTMAW),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,60000.0
1005.SKTMAW,IA.2024.08.01494,31/08/2024,200157,SEROK BESAR KAWAT,1005.1-G.Surakarta - Mawar (SKTMAW),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,80000.000002
1005.SKTMAW,IA.2024.08.01494,31/08/2024,200192,WAJAN BESI UK 70',1005.1-G.Surakarta - Mawar (SKTMAW),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,2.0,599946.000414
1005.SKTMAW,IA.2024.08.01494,31/08/2024,200158,SEROK ICE,1005.1-G.Surakarta - Mawar (SKTMAW),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,1.0,53883.621744
1005.SKTMAW,IA.2024.08.01494,31/08/2024,200642,PALLET BIRU (DRY),1005.1-G.Surakarta - Mawar (SKTMAW),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,1.0,743700.0
1006.SMNBAB,IA.2024.08.01693,31/08/2024,200043,BOTOL SPRAY,1006.1-G.Sleman - Babarsari (SMNBAB),Sparepart Inventaris - Resto (Non Jasa),Pengurangan,3.0,47523.61722
